# German Vocabulary List - A2 Level
# Format: word | article (- for verbs/adjectives/adverbs) | english | german_example | english_example
# Articles: der (masculine), die (feminine), das (neuter), - (no article)

Abendkasse|die|box office / evening ticket sales|Die Abendkasse öffnet um 19 Uhr.|The box office opens at 7 p.m.
abfahren|-|to depart / drive off|Der Bus fährt um acht Uhr ab.|The bus departs at eight o'clock.
Abfahrt|die|departure|Die Abfahrt ist in zehn Minuten.|The departure is in ten minutes.
abgeben|-|to hand in / submit|Ich muss das Formular abgeben.|I have to hand in the form.
abheben|-|to withdraw money / lift off|Ich möchte Geld abheben.|I would like to withdraw money.
abholen|-|to pick up / collect|Kannst du mich vom Bahnhof abholen?|Can you pick me up from the station?
Abitur|das|high school diploma (German A-levels)|Sie hat das Abitur bestanden.|She passed her Abitur.
ablegen|-|to put down / take an exam|Er legt morgen eine Prüfung ab.|He is taking an exam tomorrow.
ablehnen|-|to reject / refuse|Die Bank hat meinen Antrag abgelehnt.|The bank rejected my application.
ablesen|-|to read off a meter|Der Mann liest den Stromzähler ab.|The man reads the electricity meter.
Ablesung|die|meter reading|Die Ablesung findet einmal im Jahr statt.|The meter reading takes place once a year.
abmelden|-|to deregister / sign off|Ich muss mich bei der Stadt abmelden.|I have to deregister with the city.
Abmeldung|die|deregistration / sign-off|Die Abmeldung beim Einwohnermeldeamt ist wichtig.|The deregistration at the registration office is important.
abschalten|-|to switch off / unwind|Bitte schalten Sie das Licht ab.|Please switch off the light.
abschließen|-|to lock / complete|Vergiss nicht, die Tür abzuschließen.|Don't forget to lock the door.
Abschluss|der|completion / degree / closing|Er hat seinen Abschluss an der Universität gemacht.|He got his degree at the university.
absetzen|-|to put down / deduct|Er setzt die Arbeitskosten von der Steuer ab.|He deducts the work costs from taxes.
abstellen|-|to park / turn off / put down|Wo kann ich mein Fahrrad abstellen?|Where can I park my bicycle?
Abteilung|die|department|Sie arbeitet in der Abteilung für Marketing.|She works in the marketing department.
Accessoires|die|accessories|Die Accessoires machen das Outfit komplett.|The accessories complete the outfit.
afrikanisch|-|African|Das afrikanische Essen schmeckt sehr gut.|The African food tastes very good.
aggressiv|-|aggressive|Der Hund ist sehr aggressiv.|The dog is very aggressive.
ähnlich|-|similar|Die zwei Schwestern sehen sehr ähnlich aus.|The two sisters look very similar.
Aktivität|die|activity|Sport ist eine gute Aktivität für Kinder.|Sport is a good activity for children.
aktuell|-|current / up-to-date|Was sind die aktuellen Nachrichten?|What is the current news?
Akupunktur|die|acupuncture|Akupunktur kann bei Rückenschmerzen helfen.|Acupuncture can help with back pain.
alle|-|all / everyone|Alle Kinder spielen im Park.|All children are playing in the park.
Alternative|die|alternative|Gibt es eine günstigere Alternative?|Is there a cheaper alternative?
Altglas|das|waste glass / glass for recycling|Das Altglas kommt in den grünen Container.|The waste glass goes in the green container.
Amt|das|office / public authority|Das Amt ist von 9 bis 16 Uhr geöffnet.|The office is open from 9 to 4 p.m.
Amtsdeutsch|das|bureaucratic German|Das Amtsdeutsch ist oft schwer zu verstehen.|Bureaucratic German is often hard to understand.
anbieten|-|to offer|Darf ich Ihnen etwas zu trinken anbieten?|May I offer you something to drink?
ändern|-|to change / alter|Ich muss meinen Plan ändern.|I have to change my plan.
anders|-|different / differently|Heute mache ich es anders.|Today I will do it differently.
anerkannt|-|recognized / acknowledged|Sein Abschluss ist in Deutschland anerkannt.|His degree is recognized in Germany.
Anfänger/in|der/die|beginner|Er ist noch ein Anfänger beim Kochen.|He is still a beginner at cooking.
